CMDLINE cat /tmp/tif-only.log
MEM 0.734375 1447638160.8248
MEM 0.734375 1447638160.9300
MEM 0.734375 1447638161.0318
MEM 0.734375 1447638161.1321
MEM 0.734375 1447638161.2325
MEM 0.734375 1447638161.3362
MEM 0.734375 1447638161.4406
MEM 0.734375 1447638161.5458
MEM 0.734375 1447638161.6509
MEM 0.734375 1447638161.7511
MEM 0.734375 1447638161.8550
MEM 0.734375 1447638161.9570
MEM 0.734375 1447638162.0591
MEM 0.734375 1447638162.1631
MEM 0.734375 1447638162.2682
MEM 0.734375 1447638162.3691
MEM 0.734375 1447638162.4727
MEM 0.734375 1447638162.5778
MEM 0.734375 1447638162.6790
MEM 0.734375 1447638162.7813
MEM 0.734375 1447638162.8835
MEM 0.734375 1447638162.9848
MEM 0.734375 1447638163.0891
MEM 0.734375 1447638163.1904
MEM 0.734375 1447638163.2955
MEM 0.734375 1447638163.3971
MEM 0.734375 1447638163.4976
MEM 0.734375 1447638163.6027
MEM 0.734375 1447638163.7054
MEM 0.734375 1447638163.8104
MEM 0.734375 1447638163.9118
MEM 0.734375 1447638164.0147
MEM 0.734375 1447638164.1153
MEM 0.734375 1447638164.2156
MEM 0.734375 1447638164.3157
MEM 0.734375 1447638164.4193
MEM 0.734375 1447638164.5244
MEM 0.734375 1447638164.6296
MEM 0.734375 1447638164.7305
MEM 0.734375 1447638164.8307
MEM 0.734375 1447638164.9314
MEM 0.734375 1447638165.0348
MEM 0.734375 1447638165.1388
MEM 0.734375 1447638165.2400
MEM 0.734375 1447638165.3403
MEM 0.734375 1447638165.4455
MEM 0.734375 1447638165.5465
MEM 0.734375 1447638165.6504
MEM 0.734375 1447638165.7525
MEM 0.734375 1447638165.8576
MEM 0.734375 1447638165.9611
MEM 0.734375 1447638166.0662
MEM 0.734375 1447638166.1670
MEM 0.734375 1447638166.2711
MEM 0.734375 1447638166.3738
MEM 0.734375 1447638166.4749
MEM 0.734375 1447638166.5756
MEM 0.734375 1447638166.6779
MEM 0.734375 1447638166.7782
MEM 0.734375 1447638166.8800
MEM 0.734375 1447638166.9851
MEM 0.734375 1447638167.0877
MEM 0.734375 1447638167.1928
MEM 0.734375 1447638167.2979
MEM 0.734375 1447638167.4006
MEM 0.734375 1447638167.5044
MEM 0.734375 1447638167.6095
MEM 0.734375 1447638167.7112
MEM 0.734375 1447638167.8116
MEM 0.734375 1447638167.9125
MEM 0.734375 1447638168.0176
MEM 0.734375 1447638168.1185
MEM 0.734375 1447638168.2208
MEM 0.734375 1447638168.3209
MEM 0.734375 1447638168.4246
MEM 0.734375 1447638168.5298
MEM 0.734375 1447638168.6319
MEM 0.734375 1447638168.7342
MEM 0.734375 1447638168.8357
MEM 0.734375 1447638168.9389
MEM 0.734375 1447638169.0411
MEM 0.734375 1447638169.1457
MEM 0.734375 1447638169.2468
MEM 0.734375 1447638169.3499
MEM 0.734375 1447638169.4543
MEM 0.734375 1447638169.5580
MEM 0.734375 1447638169.6587
MEM 0.734375 1447638169.7590
MEM 0.734375 1447638169.8610
MEM 0.734375 1447638169.9612
MEM 0.734375 1447638170.0664
MEM 0.734375 1447638170.1684
MEM 0.734375 1447638170.2735
MEM 0.734375 1447638170.3743
MEM 0.734375 1447638170.4782
MEM 0.734375 1447638170.5812
MEM 0.734375 1447638170.6826
MEM 0.734375 1447638170.7847
MEM 0.734375 1447638170.8876
MEM 0.734375 1447638170.9882
MEM 0.734375 1447638171.0897
MEM 0.734375 1447638171.1921
MEM 0.734375 1447638171.2940
MEM 0.734375 1447638171.3948
MEM 0.734375 1447638171.4959
MEM 0.734375 1447638171.5961
MEM 0.734375 1447638171.6989
MEM 0.734375 1447638171.7997
MEM 0.734375 1447638171.9035
MEM 0.734375 1447638172.0057
