CMDLINE cat /tmp/tif-only.log
MEM 0.734375 1447638225.3773
MEM 0.734375 1447638225.4790
MEM 0.734375 1447638225.5794
MEM 0.734375 1447638225.6797
MEM 0.734375 1447638225.7826
MEM 0.734375 1447638225.8853
MEM 0.734375 1447638225.9873
MEM 0.734375 1447638226.0882
MEM 0.734375 1447638226.1913
MEM 0.734375 1447638226.2934
MEM 0.371094 1447638226.3947
MEM 0.371094 1447638226.4994
MEM 0.371094 1447638226.6018
MEM 0.371094 1447638226.7042
MEM 0.371094 1447638226.8053
MEM 0.371094 1447638226.9083
MEM 0.371094 1447638227.0093
MEM 0.371094 1447638227.1145
MEM 0.371094 1447638227.2159
MEM 0.371094 1447638227.3194
MEM 0.371094 1447638227.4209
MEM 0.371094 1447638227.5218
MEM 0.371094 1447638227.6221
MEM 0.371094 1447638227.7223
MEM 0.371094 1447638227.8233
MEM 0.371094 1447638227.9272
MEM 0.371094 1447638228.0317
MEM 0.371094 1447638228.1332
MEM 0.371094 1447638228.2334
MEM 0.371094 1447638228.3338
MEM 0.371094 1447638228.4363
MEM 0.371094 1447638228.5365
MEM 0.371094 1447638228.6389
MEM 0.371094 1447638228.7393
MEM 0.371094 1447638228.8403
MEM 0.371094 1447638228.9406
MEM 0.371094 1447638229.0423
MEM 0.371094 1447638229.1450
MEM 0.371094 1447638229.2552
MEM 0.371094 1447638229.3562
MEM 0.371094 1447638229.4594
MEM 0.371094 1447638229.5607
MEM 0.371094 1447638229.6637
MEM 0.371094 1447638229.7682
MEM 0.371094 1447638229.8687
MEM 0.371094 1447638229.9714
MEM 0.371094 1447638230.0746
MEM 0.371094 1447638230.1754
MEM 0.371094 1447638230.2775
MEM 0.371094 1447638230.3810
MEM 0.371094 1447638230.4815
MEM 0.371094 1447638230.5847
MEM 0.371094 1447638230.6855
MEM 0.371094 1447638230.7875
MEM 0.371094 1447638230.8888
MEM 0.371094 1447638230.9891
MEM 0.371094 1447638231.0908
MEM 0.371094 1447638231.1935
MEM 0.371094 1447638231.2947
MEM 0.371094 1447638231.3995
MEM 0.371094 1447638231.5002
MEM 0.371094 1447638231.6005
MEM 0.371094 1447638231.7035
MEM 0.371094 1447638231.8043
MEM 0.371094 1447638231.9069
MEM 0.371094 1447638232.0097
MEM 0.371094 1447638232.1106
MEM 0.371094 1447638232.2132
MEM 0.371094 1447638232.3176
MEM 0.371094 1447638232.4183
MEM 0.371094 1447638232.5196
MEM 0.371094 1447638232.6219
MEM 0.371094 1447638232.7221
MEM 0.371094 1447638232.8235
MEM 0.371094 1447638232.9242
MEM 0.371094 1447638233.0253
MEM 0.371094 1447638233.1264
MEM 0.371094 1447638233.2288
MEM 0.371094 1447638233.3336
MEM 0.371094 1447638233.4355
MEM 0.371094 1447638233.5373
MEM 0.371094 1447638233.6447
MEM 0.371094 1447638233.7504
MEM 0.371094 1447638233.8555
MEM 0.371094 1447638233.9589
MEM 0.371094 1447638234.0616
MEM 0.371094 1447638234.1661
MEM 0.371094 1447638234.2666
MEM 0.371094 1447638234.3704
MEM 0.371094 1447638234.4711
MEM 0.371094 1447638234.5750
MEM 0.371094 1447638234.6798
MEM 0.371094 1447638234.7805
MEM 0.371094 1447638234.8810
MEM 0.371094 1447638234.9847
MEM 0.371094 1447638235.0854
MEM 0.371094 1447638235.1905
MEM 0.371094 1447638235.2934
MEM 0.371094 1447638235.3938
MEM 0.371094 1447638235.4960
MEM 0.371094 1447638235.5993
MEM 0.371094 1447638235.7001
MEM 0.371094 1447638235.8029
MEM 0.371094 1447638235.9030
MEM 0.371094 1447638236.0056
MEM 0.371094 1447638236.1060
MEM 0.371094 1447638236.2090
MEM 0.371094 1447638236.3115
MEM 0.371094 1447638236.4161
MEM 0.371094 1447638236.5173
MEM 0.371094 1447638236.6229
MEM 0.371094 1447638236.7346
MEM 0.371094 1447638236.8398
MEM 0.371094 1447638236.9434
MEM 0.371094 1447638237.0538
MEM 0.371094 1447638237.1550
MEM 0.371094 1447638237.2589
MEM 0.371094 1447638237.3592
MEM 0.371094 1447638237.4625
MEM 0.371094 1447638237.5661
MEM 0.371094 1447638237.6666
MEM 0.371094 1447638237.7717
MEM 0.371094 1447638237.8729
MEM 0.371094 1447638237.9733
MEM 0.371094 1447638238.0785
MEM 0.371094 1447638238.1792
MEM 0.371094 1447638238.2800
MEM 0.371094 1447638238.3817
MEM 0.371094 1447638238.4861
MEM 0.371094 1447638238.5879
MEM 0.371094 1447638238.6917
MEM 0.371094 1447638238.7927
MEM 0.371094 1447638238.8970
MEM 0.371094 1447638238.9973
MEM 0.371094 1447638239.1003
MEM 0.371094 1447638239.2022
MEM 0.371094 1447638239.3062
MEM 0.371094 1447638239.4098
MEM 0.371094 1447638239.5113
MEM 0.371094 1447638239.6162
MEM 0.371094 1447638239.7198
MEM 0.371094 1447638239.8200
MEM 0.371094 1447638239.9215
MEM 0.371094 1447638240.0232
MEM 0.371094 1447638240.1274
MEM 0.371094 1447638240.2276
MEM 0.371094 1447638240.3285
MEM 0.371094 1447638240.4289
MEM 0.371094 1447638240.5318
MEM 0.371094 1447638240.6338
MEM 0.371094 1447638240.7416
MEM 0.371094 1447638240.8422
MEM 0.371094 1447638240.9454
MEM 0.371094 1447638241.0459
MEM 0.371094 1447638241.1488
MEM 0.371094 1447638241.2523
MEM 0.371094 1447638241.3525
MEM 0.371094 1447638241.4566
MEM 0.371094 1447638241.5571
MEM 0.371094 1447638241.6587
MEM 0.371094 1447638241.7625
MEM 0.371094 1447638241.8663
MEM 0.371094 1447638241.9678
MEM 0.371094 1447638242.0698
MEM 0.371094 1447638242.1704
MEM 0.371094 1447638242.2705
MEM 0.371094 1447638242.3757
MEM 0.371094 1447638242.4775
MEM 0.371094 1447638242.5785
MEM 0.371094 1447638242.6790
MEM 0.371094 1447638242.7797
MEM 0.371094 1447638242.8826
MEM 0.371094 1447638242.9849
MEM 0.371094 1447638243.0855
MEM 0.371094 1447638243.1869
MEM 0.371094 1447638243.2908
MEM 0.371094 1447638243.3929
MEM 0.371094 1447638243.4970
MEM 0.371094 1447638243.5974
MEM 0.371094 1447638243.6979
MEM 0.371094 1447638243.7997
MEM 0.371094 1447638243.9035
MEM 0.371094 1447638244.0039
MEM 0.371094 1447638244.1056
MEM 0.371094 1447638244.2060
MEM 0.371094 1447638244.3079
MEM 0.371094 1447638244.4099
MEM 0.371094 1447638244.5113
MEM 0.371094 1447638244.6164
MEM 0.371094 1447638244.7176
MEM 0.371094 1447638244.8202
MEM 0.371094 1447638244.9247
MEM 0.371094 1447638245.0276
MEM 0.371094 1447638245.1316
MEM 0.371094 1447638245.2350
MEM 0.371094 1447638245.3380
MEM 0.371094 1447638245.4423
MEM 0.371094 1447638245.5434
MEM 0.371094 1447638245.6453
MEM 0.371094 1447638245.7493
MEM 0.371094 1447638245.8499
MEM 0.371094 1447638245.9544
MEM 0.371094 1447638246.0575
MEM 0.371094 1447638246.1580
MEM 0.371094 1447638246.2599
MEM 0.371094 1447638246.3611
MEM 0.371094 1447638246.4619
MEM 0.371094 1447638246.5665
MEM 0.371094 1447638246.6680
MEM 0.371094 1447638246.7686
MEM 0.371094 1447638246.8706
MEM 0.371094 1447638246.9720
MEM 0.371094 1447638247.0760
MEM 0.371094 1447638247.1780
MEM 0.371094 1447638247.2803
MEM 0.371094 1447638247.3851
MEM 0.371094 1447638247.4871
MEM 0.371094 1447638247.5900
MEM 0.371094 1447638247.6907
MEM 0.371094 1447638247.7913
MEM 0.371094 1447638247.8927
MEM 0.371094 1447638247.9978
MEM 0.371094 1447638248.0980
MEM 0.371094 1447638248.2032
MEM 0.371094 1447638248.3045
MEM 0.371094 1447638248.4058
MEM 0.371094 1447638248.5065
MEM 0.371094 1447638248.6075
MEM 0.371094 1447638248.7120
MEM 0.371094 1447638248.8165
MEM 0.371094 1447638248.9182
MEM 0.371094 1447638249.0186
MEM 0.371094 1447638249.1200
MEM 0.371094 1447638249.2242
MEM 0.371094 1447638249.3276
MEM 0.371094 1447638249.4325
MEM 0.371094 1447638249.5371
MEM 0.371094 1447638249.6385
MEM 0.371094 1447638249.7398
MEM 0.371094 1447638249.8416
MEM 0.371094 1447638249.9418
MEM 0.371094 1447638250.0469
MEM 0.371094 1447638250.1483
MEM 0.371094 1447638250.2518
MEM 0.371094 1447638250.3523
MEM 0.371094 1447638250.4535
MEM 0.371094 1447638250.5550
MEM 0.371094 1447638250.6561
MEM 0.371094 1447638250.7563
MEM 0.371094 1447638250.8575
MEM 0.371094 1447638250.9601
MEM 0.371094 1447638251.0614
MEM 0.371094 1447638251.1632
MEM 0.371094 1447638251.2667
MEM 0.371094 1447638251.3674
MEM 0.371094 1447638251.4697
MEM 0.371094 1447638251.5702
MEM 0.371094 1447638251.6711
MEM 0.371094 1447638251.7760
MEM 0.371094 1447638251.8786
MEM 0.371094 1447638251.9837
MEM 0.371094 1447638252.0840
MEM 0.371094 1447638252.1843
MEM 0.371094 1447638252.2861
MEM 0.371094 1447638252.3876
MEM 0.371094 1447638252.4889
MEM 0.371094 1447638252.5927
MEM 0.371094 1447638252.6959
MEM 0.371094 1447638252.7963
MEM 0.371094 1447638252.8986
MEM 0.371094 1447638253.0015
MEM 0.371094 1447638253.1026
MEM 0.371094 1447638253.2032
MEM 0.371094 1447638253.3078
MEM 0.371094 1447638253.4082
MEM 0.371094 1447638253.5116
MEM 0.371094 1447638253.6167
MEM 0.371094 1447638253.7170
MEM 0.371094 1447638253.8189
MEM 0.371094 1447638253.9192
MEM 0.371094 1447638254.0221
MEM 0.371094 1447638254.1260
MEM 0.371094 1447638254.2268
MEM 0.371094 1447638254.3279
MEM 0.371094 1447638254.4324
MEM 0.371094 1447638254.5341
MEM 0.371094 1447638254.6366
MEM 0.371094 1447638254.7371
MEM 0.371094 1447638254.8373
MEM 0.371094 1447638254.9410
MEM 0.371094 1447638255.0429
MEM 0.371094 1447638255.1480
MEM 0.371094 1447638255.2482
MEM 0.371094 1447638255.3492
MEM 0.371094 1447638255.4495
MEM 0.371094 1447638255.5497
